user_id,first_topic,topic_cluster,contains_crisis_language,contains_relationship_topic,contains_school_topic,contains_loneliness_topic
u_000001,motivation,self_improvement,False,False,False,False
u_000002,school_stress,school,False,False,True,False
u_000003,loneliness,emotional_support,False,False,False,True
u_000004,motivation,self_improvement,False,False,False,False
u_000005,motivation,self_improvement,False,False,False,False
u_000006,relationships,relationships,False,True,False,False
u_000007,school_stress,school,False,False,True,False
u_000008,school_stress,school,False,False,True,False
u_000009,relationships,relationships,True,True,False,False
u_000010,career,career,False,False,False,False
u_000011,motivation,self_improvement,False,False,False,False
u_000012,relationships,relationships,False,True,False,False
u_000013,motivation,self_improvement,False,False,False,False
u_000014,sleep,wellness,False,False,False,False
u_000015,loneliness,emotional_support,False,False,False,True
u_000016,loneliness,emotional_support,False,False,False,True
u_000017,motivation,self_improvement,False,False,False,False
u_000018,school_stress,school,False,False,True,False
u_000019,school_stress,school,False,False,True,False
u_000020,career,career,False,False,False,False
u_000021,school_stress,school,False,False,True,False
u_000022,motivation,self_improvement,False,False,False,False
u_000023,sleep,wellness,False,False,False,False
u_000024,school_stress,school,False,False,True,False
u_000025,motivation,self_improvement,False,False,False,False
u_000026,relationships,relationships,False,True,False,False
u_000027,career,career,False,False,False,False
u_000028,school_stress,school,False,False,True,False
u_000029,general_checkin,reflection,False,False,False,False
u_000030,career,career,False,False,False,False
u_000031,loneliness,emotional_support,True,False,False,True
u_000032,loneliness,emotional_support,False,False,False,True
u_000033,motivation,self_improvement,False,False,False,False
u_000034,family,relationships,False,True,False,False
u_000035,school_stress,school,False,False,True,False
u_000036,relationships,relationships,False,True,False,False
u_000037,motivation,self_improvement,False,False,False,False
u_000038,school_stress,school,False,False,True,False
u_000039,loneliness,emotional_support,False,False,False,True
u_000040,loneliness,emotional_support,False,False,False,True
u_000041,relationships,relationships,False,True,False,False
u_000042,motivation,self_improvement,False,False,False,False
u_000043,career,career,False,False,False,False
u_000044,loneliness,emotional_support,False,False,False,True
u_000045,motivation,self_improvement,False,False,False,False
u_000046,career,career,False,False,False,False
u_000047,career,career,False,False,False,False
u_000048,motivation,self_improvement,False,False,False,False
u_000049,relationships,relationships,False,True,False,False
u_000050,family,relationships,False,True,False,False
u_000051,school_stress,school,True,False,True,False
u_000052,school_stress,school,False,False,True,False
u_000053,loneliness,emotional_support,False,False,False,True
u_000054,relationships,relationships,False,True,False,False
u_000055,sleep,wellness,False,False,False,False
u_000056,relationships,relationships,False,True,False,False
u_000057,sleep,wellness,False,False,False,False
u_000058,motivation,self_improvement,False,False,False,False
u_000059,school_stress,school,False,False,True,False
u_000060,relationships,relationships,False,True,False,False
u_000061,general_checkin,reflection,False,False,False,False
u_000062,motivation,self_improvement,False,False,False,False
u_000063,relationships,relationships,False,True,False,False
u_000064,school_stress,school,False,False,True,False
u_000065,school_stress,school,False,False,True,False
u_000066,relationships,relationships,False,True,False,False
u_000067,relationships,relationships,False,True,False,False
u_000068,school_stress,school,False,False,True,False
u_000069,general_checkin,reflection,False,False,False,False
u_000070,career,career,False,False,False,False
u_000071,motivation,self_improvement,False,False,False,False
u_000072,general_checkin,reflection,False,False,False,False
u_000073,career,career,False,False,False,False
u_000074,motivation,self_improvement,False,False,False,False
u_000075,career,career,False,False,False,False
u_000076,motivation,self_improvement,False,False,False,False
u_000077,career,career,False,False,False,False
u_000078,relationships,relationships,False,True,False,False
u_000079,motivation,self_improvement,False,False,False,False
u_000080,school_stress,school,False,False,True,False
u_000081,relationships,relationships,False,True,False,False
u_000082,motivation,self_improvement,False,False,False,False
u_000083,loneliness,emotional_support,False,False,False,True
u_000084,relationships,relationships,False,True,False,False
u_000085,career,career,False,False,False,False
u_000086,school_stress,school,False,False,True,False
u_000087,family,relationships,False,True,False,False
u_000088,career,career,False,False,False,False
u_000089,general_checkin,reflection,False,False,False,False
u_000090,motivation,self_improvement,False,False,False,False
u_000091,sleep,wellness,False,False,False,False
u_000092,loneliness,emotional_support,False,False,False,True
u_000093,family,relationships,False,True,False,False
u_000094,school_stress,school,False,False,True,False
u_000095,relationships,relationships,False,True,False,False
u_000096,relationships,relationships,False,True,False,False
u_000097,career,career,False,False,False,False
u_000098,school_stress,school,False,False,True,False
u_000099,motivation,self_improvement,False,False,False,False
u_000100,loneliness,emotional_support,False,False,False,True
u_000101,sleep,wellness,False,False,False,False
u_000102,sleep,wellness,False,False,False,False
u_000103,school_stress,school,False,False,True,False
u_000104,motivation,self_improvement,False,False,False,False
u_000105,general_checkin,reflection,False,False,False,False
u_000106,general_checkin,reflection,False,False,False,False
u_000107,motivation,self_improvement,False,False,False,False
u_000108,sleep,wellness,False,False,False,False
u_000109,loneliness,emotional_support,False,False,False,True
u_000110,relationships,relationships,False,True,False,False
u_000111,career,career,False,False,False,False
u_000112,school_stress,school,False,False,True,False
u_000113,school_stress,school,False,False,True,False
u_000114,loneliness,emotional_support,False,False,False,True
u_000115,career,career,False,False,False,False
u_000116,motivation,self_improvement,False,False,False,False
u_000117,family,relationships,False,True,False,False
u_000118,relationships,relationships,False,True,False,False
u_000119,school_stress,school,False,False,True,False
u_000120,school_stress,school,False,False,True,False
u_000121,school_stress,school,False,False,True,False
u_000122,family,relationships,False,True,False,False
u_000123,school_stress,school,False,False,True,False
u_000124,school_stress,school,False,False,True,False
u_000125,sleep,wellness,False,False,False,False
u_000126,school_stress,school,False,False,True,False
u_000127,relationships,relationships,False,True,False,False
u_000128,relationships,relationships,False,True,False,False
u_000129,general_checkin,reflection,False,False,False,False
u_000130,career,career,False,False,False,False
u_000131,career,career,False,False,False,False
u_000132,motivation,self_improvement,False,False,False,False
u_000133,sleep,wellness,False,False,False,False
u_000134,family,relationships,False,True,False,False
u_000135,general_checkin,reflection,False,False,False,False
u_000136,relationships,relationships,False,True,False,False
u_000137,general_checkin,reflection,False,False,False,False
u_000138,school_stress,school,False,False,True,False
u_000139,motivation,self_improvement,False,False,False,False
u_000140,motivation,self_improvement,False,False,False,False
u_000141,general_checkin,reflection,False,False,False,False
u_000142,school_stress,school,False,False,True,False
u_000143,motivation,self_improvement,False,False,False,False
u_000144,relationships,relationships,False,True,False,False
u_000145,general_checkin,reflection,False,False,False,False
u_000146,school_stress,school,False,False,True,False
u_000147,school_stress,school,False,False,True,False
u_000148,motivation,self_improvement,False,False,False,False
u_000149,general_checkin,reflection,False,False,False,False
u_000150,general_checkin,reflection,False,False,False,False
u_000151,family,relationships,False,True,False,False
u_000152,general_checkin,reflection,False,False,False,False
u_000153,relationships,relationships,False,True,False,False
u_000154,sleep,wellness,False,False,False,False
u_000155,loneliness,emotional_support,False,False,False,True
u_000156,school_stress,school,False,False,True,False
u_000157,school_stress,school,False,False,True,False
u_000158,school_stress,school,False,False,True,False
u_000159,career,career,False,False,False,False
u_000160,school_stress,school,False,False,True,False
u_000161,relationships,relationships,False,True,False,False
u_000162,motivation,self_improvement,False,False,False,False
u_000163,general_checkin,reflection,False,False,False,False
u_000164,school_stress,school,False,False,True,False
u_000165,school_stress,school,False,False,True,False
u_000166,motivation,self_improvement,False,False,False,False
u_000167,career,career,False,False,False,False
u_000168,sleep,wellness,False,False,False,False
u_000169,relationships,relationships,False,True,False,False
u_000170,motivation,self_improvement,False,False,False,False
u_000171,sleep,wellness,False,False,False,False
u_000172,relationships,relationships,False,True,False,False
u_000173,motivation,self_improvement,False,False,False,False
u_000174,relationships,relationships,False,True,False,False
u_000175,relationships,relationships,False,True,False,False
u_000176,sleep,wellness,False,False,False,False
u_000177,career,career,False,False,False,False
u_000178,motivation,self_improvement,False,False,False,False
u_000179,relationships,relationships,False,True,False,False
u_000180,motivation,self_improvement,False,False,False,False
u_000181,career,career,False,False,False,False
u_000182,school_stress,school,False,False,True,False
u_000183,loneliness,emotional_support,False,False,False,True
u_000184,career,career,False,False,False,False
u_000185,relationships,relationships,False,True,False,False
u_000186,school_stress,school,False,False,True,False
u_000187,school_stress,school,False,False,True,False
u_000188,loneliness,emotional_support,False,False,False,True
u_000189,sleep,wellness,False,False,False,False
u_000190,school_stress,school,False,False,True,False
u_000191,general_checkin,reflection,False,False,False,False
u_000192,general_checkin,reflection,False,False,False,False
u_000193,school_stress,school,False,False,True,False
u_000194,school_stress,school,False,False,True,False
u_000195,sleep,wellness,False,False,False,False
u_000196,loneliness,emotional_support,False,False,False,True
u_000197,sleep,wellness,False,False,False,False
u_000198,loneliness,emotional_support,False,False,False,True
u_000199,school_stress,school,False,False,True,False
u_000200,loneliness,emotional_support,False,False,False,True
u_000201,school_stress,school,False,False,True,False
u_000202,family,relationships,False,True,False,False
u_000203,relationships,relationships,False,True,False,False
u_000204,sleep,wellness,False,False,False,False
u_000205,motivation,self_improvement,False,False,False,False
u_000206,school_stress,school,False,False,True,False
u_000207,relationships,relationships,False,True,False,False
u_000208,general_checkin,reflection,False,False,False,False
u_000209,relationships,relationships,False,True,False,False
u_000210,loneliness,emotional_support,True,False,False,True
u_000211,motivation,self_improvement,False,False,False,False
u_000212,school_stress,school,False,False,True,False
u_000213,career,career,True,False,False,False
u_000214,school_stress,school,False,False,True,False
u_000215,school_stress,school,False,False,True,False
u_000216,sleep,wellness,False,False,False,False
u_000217,school_stress,school,False,False,True,False
u_000218,general_checkin,reflection,False,False,False,False
u_000219,motivation,self_improvement,True,False,False,False
u_000220,sleep,wellness,False,False,False,False
u_000221,general_checkin,reflection,False,False,False,False
u_000222,motivation,self_improvement,False,False,False,False
u_000223,motivation,self_improvement,False,False,False,False
u_000224,general_checkin,reflection,False,False,False,False
u_000225,school_stress,school,False,False,True,False
u_000226,general_checkin,reflection,False,False,False,False
u_000227,loneliness,emotional_support,False,False,False,True
u_000228,relationships,relationships,False,True,False,False
u_000229,general_checkin,reflection,False,False,False,False
u_000230,family,relationships,False,True,False,False
u_000231,loneliness,emotional_support,False,False,False,True
u_000232,relationships,relationships,False,True,False,False
u_000233,motivation,self_improvement,False,False,False,False
u_000234,motivation,self_improvement,False,False,False,False
