session_id,user_id,session_date,session_type,session_length_minutes,num_messages,main_topic,sentiment_score
s_u_000001_01,u_000001,2026-04-21,voice,8.06,10,motivation,0.587
s_u_000001_02,u_000001,2026-04-16,text,3.16,11,motivation,0.383
s_u_000001_03,u_000001,2026-04-19,text,3.55,14,general_checkin,0.285
s_u_000002_01,u_000002,2026-04-08,voice,0.22,3,school_stress,-0.595
s_u_000002_02,u_000002,2026-04-05,text,4.7,17,school_stress,-0.497
s_u_000002_03,u_000002,2026-04-06,text,3.24,13,school_stress,-0.673
s_u_000002_04,u_000002,2026-04-12,voice,0.2,2,school_stress,-0.318
s_u_000002_05,u_000002,2026-04-08,text,1.31,5,school_stress,-0.835
s_u_000002_06,u_000002,2026-04-09,voice,0.2,2,school_stress,-0.577
s_u_000003_01,u_000003,2026-04-28,voice,0.2,2,loneliness,0.294
s_u_000003_02,u_000003,2026-04-27,voice,0.2,2,general_checkin,0.515
s_u_000003_03,u_000003,2026-04-26,text,0.2,2,loneliness,0.443
s_u_000003_04,u_000003,2026-05-03,voice,0.2,2,motivation,0.37
s_u_000004_01,u_000004,2026-04-25,text,0.2,3,motivation,0.556
s_u_000004_02,u_000004,2026-04-27,text,0.2,3,motivation,0.317
s_u_000004_03,u_000004,2026-04-25,text,0.2,2,motivation,0.684
s_u_000005_01,u_000005,2026-04-06,voice,0.2,2,motivation,-0.607
s_u_000005_02,u_000005,2026-04-04,voice,1.95,6,general_checkin,-0.226
s_u_000005_03,u_000005,2026-04-04,voice,0.81,7,motivation,-0.982
s_u_000006_01,u_000006,2026-04-24,text,3.38,19,relationships,-0.236
s_u_000006_02,u_000006,2026-04-27,voice,5.44,12,relationships,-0.058
s_u_000006_03,u_000006,2026-04-24,voice,3.22,8,relationships,-0.565
s_u_000006_04,u_000006,2026-04-25,voice,4.03,6,relationships,-0.095
s_u_000007_01,u_000007,2026-04-24,voice,0.2,2,school_stress,0.259
s_u_000007_02,u_000007,2026-04-27,voice,1.97,4,school_stress,0.57
s_u_000008_01,u_000008,2026-04-14,voice,10.44,18,school_stress,0.527
s_u_000009_01,u_000009,2026-05-05,voice,5.97,11,relationships,-0.62
s_u_000009_02,u_000009,2026-05-02,voice,0.39,2,relationships,-1.0
s_u_000010_01,u_000010,2026-04-27,voice,9.26,17,career,0.017
s_u_000010_02,u_000010,2026-05-01,voice,7.68,17,motivation,0.019
s_u_000010_03,u_000010,2026-05-02,voice,8.34,22,general_checkin,-0.252
s_u_000010_04,u_000010,2026-04-27,text,6.95,22,career,-0.02
s_u_000010_05,u_000010,2026-04-29,text,4.88,21,career,-0.287
s_u_000010_06,u_000010,2026-04-28,text,9.89,47,career,0.248
s_u_000010_07,u_000010,2026-04-26,text,5.71,25,career,-0.223
s_u_000010_08,u_000010,2026-04-29,text,3.63,11,general_checkin,-0.191
s_u_000011_01,u_000011,2026-04-20,text,0.2,2,motivation,-0.115
s_u_000011_02,u_000011,2026-04-17,voice,0.49,3,general_checkin,0.48
s_u_000011_03,u_000011,2026-04-21,text,4.28,13,motivation,0.369
s_u_000011_04,u_000011,2026-04-17,voice,0.29,3,motivation,0.228
s_u_000012_01,u_000012,2026-04-25,voice,2.06,5,relationships,0.482
s_u_000012_02,u_000012,2026-04-26,voice,1.77,4,relationships,0.721
s_u_000012_03,u_000012,2026-04-27,voice,3.27,6,general_checkin,0.678
s_u_000012_04,u_000012,2026-04-26,text,0.2,3,motivation,0.385
s_u_000013_01,u_000013,2026-04-15,voice,3.84,4,motivation,-0.097
s_u_000013_02,u_000013,2026-04-16,voice,3.19,7,motivation,0.271
s_u_000013_03,u_000013,2026-04-15,voice,2.37,8,general_checkin,-0.058
s_u_000013_04,u_000013,2026-04-15,voice,0.57,3,motivation,-0.035
s_u_000014_01,u_000014,2026-04-26,voice,4.87,13,sleep,-0.689
s_u_000014_02,u_000014,2026-05-02,voice,2.4,10,sleep,-1.0
s_u_000015_01,u_000015,2026-04-18,voice,4.11,6,loneliness,0.218
s_u_000015_02,u_000015,2026-04-15,voice,4.74,9,motivation,0.133
s_u_000016_01,u_000016,2026-04-16,voice,2.39,7,loneliness,-0.172
s_u_000016_02,u_000016,2026-04-17,text,7.01,23,loneliness,-0.015
s_u_000016_03,u_000016,2026-04-18,voice,9.42,23,general_checkin,-0.074
s_u_000016_04,u_000016,2026-04-15,voice,5.95,11,general_checkin,-0.25
s_u_000016_05,u_000016,2026-04-11,voice,0.2,2,loneliness,-0.201
s_u_000016_06,u_000016,2026-04-11,voice,2.93,11,loneliness,-0.037
s_u_000016_07,u_000016,2026-04-15,voice,5.07,13,loneliness,-0.091
s_u_000016_08,u_000016,2026-04-15,text,0.4,5,loneliness,-0.023
s_u_000016_09,u_000016,2026-04-11,voice,4.07,5,general_checkin,-0.193
s_u_000017_01,u_000017,2026-04-30,text,2.61,16,motivation,-0.351
s_u_000017_02,u_000017,2026-04-27,voice,0.2,2,motivation,0.118
s_u_000018_01,u_000018,2026-04-12,voice,4.33,11,school_stress,-0.519
s_u_000018_02,u_000018,2026-04-16,text,3.66,12,school_stress,-0.605
s_u_000018_03,u_000018,2026-04-13,voice,4.65,10,school_stress,-0.302
s_u_000019_01,u_000019,2026-04-09,voice,0.91,3,school_stress,-0.721
s_u_000019_02,u_000019,2026-04-11,voice,4.48,11,school_stress,-0.608
s_u_000019_03,u_000019,2026-04-11,voice,1.48,5,general_checkin,-0.422
s_u_000020_01,u_000020,2026-04-09,text,0.8,6,career,0.51
s_u_000021_01,u_000021,2026-04-07,voice,6.11,15,school_stress,-0.141
s_u_000021_02,u_000021,2026-04-12,voice,0.2,2,school_stress,-0.311
s_u_000021_03,u_000021,2026-04-11,text,1.89,4,school_stress,-0.126
s_u_000021_04,u_000021,2026-04-05,voice,4.88,10,school_stress,-0.466
s_u_000022_01,u_000022,2026-04-23,voice,2.44,4,motivation,0.377
s_u_000023_01,u_000023,2026-04-10,voice,1.82,3,sleep,-0.164
s_u_000023_02,u_000023,2026-04-15,voice,1.57,7,sleep,-0.158
s_u_000024_01,u_000024,2026-04-18,voice,0.68,2,school_stress,-0.038
s_u_000024_02,u_000024,2026-04-18,voice,4.42,18,motivation,-0.242
s_u_000024_03,u_000024,2026-04-19,text,2.49,15,general_checkin,-0.167
s_u_000024_04,u_000024,2026-04-20,voice,1.4,5,school_stress,-0.255
s_u_000024_05,u_000024,2026-04-17,text,0.2,4,general_checkin,-0.094
s_u_000025_01,u_000025,2026-04-05,voice,0.2,2,motivation,0.14
s_u_000025_02,u_000025,2026-04-01,voice,0.2,2,motivation,-0.213
s_u_000026_01,u_000026,2026-04-17,voice,12.05,29,relationships,-0.491
s_u_000026_02,u_000026,2026-04-16,voice,9.1,18,relationships,-0.291
s_u_000026_03,u_000026,2026-04-14,text,7.83,27,relationships,-0.448
s_u_000026_04,u_000026,2026-04-14,voice,6.12,14,relationships,-0.505
s_u_000027_01,u_000027,2026-04-30,voice,0.2,2,career,0.337
s_u_000028_01,u_000028,2026-05-04,voice,7.34,14,school_stress,-0.568
s_u_000028_02,u_000028,2026-05-01,voice,6.27,11,motivation,-0.427
s_u_000028_03,u_000028,2026-05-01,text,0.94,6,general_checkin,-0.566
s_u_000029_01,u_000029,2026-04-09,text,4.12,19,general_checkin,0.487
s_u_000030_01,u_000030,2026-04-27,voice,8.0,14,career,-0.157
s_u_000030_02,u_000030,2026-04-20,text,3.29,12,career,-0.381
s_u_000030_03,u_000030,2026-04-20,text,0.2,3,career,-0.338
s_u_000030_04,u_000030,2026-04-26,text,2.33,13,career,-0.385
s_u_000030_05,u_000030,2026-04-23,voice,1.35,4,general_checkin,-0.545
s_u_000030_06,u_000030,2026-04-26,text,1.22,7,career,-0.548
s_u_000030_07,u_000030,2026-04-22,voice,1.74,6,career,-0.235
s_u_000030_08,u_000030,2026-04-21,text,2.12,9,motivation,-0.123
s_u_000030_09,u_000030,2026-04-20,text,2.2,10,career,-0.135
s_u_000030_10,u_000030,2026-04-27,text,3.76,18,motivation,-0.269
s_u_000030_11,u_000030,2026-04-20,text,2.31,14,motivation,-0.015
s_u_000030_12,u_000030,2026-04-27,text,3.54,16,career,-0.155
s_u_000031_01,u_000031,2026-05-02,text,0.2,3,loneliness,-0.972
s_u_000031_02,u_000031,2026-05-02,text,0.2,3,loneliness,-0.996
s_u_000032_01,u_000032,2026-04-17,voice,0.2,3,loneliness,-0.889
s_u_000032_02,u_000032,2026-04-15,text,3.12,13,loneliness,-0.844
s_u_000032_03,u_000032,2026-04-16,voice,3.04,8,motivation,-1.0
s_u_000032_04,u_000032,2026-04-15,voice,0.2,2,loneliness,-0.73
s_u_000033_01,u_000033,2026-04-13,text,2.39,10,motivation,-0.106
s_u_000033_02,u_000033,2026-04-06,text,3.87,6,motivation,0.136
s_u_000033_03,u_000033,2026-04-06,text,3.05,18,motivation,0.07
s_u_000033_04,u_000033,2026-04-08,text,2.08,9,motivation,0.241
s_u_000033_05,u_000033,2026-04-11,voice,2.79,10,general_checkin,0.336
s_u_000034_01,u_000034,2026-05-02,voice,1.27,3,family,0.106
s_u_000034_02,u_000034,2026-05-01,voice,1.22,3,family,-0.25
s_u_000034_03,u_000034,2026-04-30,text,3.06,12,family,-0.594
s_u_000035_01,u_000035,2026-05-01,voice,3.0,6,school_stress,-0.35
s_u_000036_01,u_000036,2026-04-30,text,0.9,7,relationships,0.265
s_u_000036_02,u_000036,2026-04-30,voice,0.2,2,motivation,-0.034
s_u_000037_01,u_000037,2026-04-25,text,3.58,11,motivation,-0.205
s_u_000037_02,u_000037,2026-04-29,voice,3.87,9,motivation,-0.082
