user_id,signup_date,acquisition_channel,age_bucket,country,used_voice_first_day,used_text_first_day,returned_day_1,returned_day_7,converted_paid
u_000001,2026-04-16,organic,35-44,US,1,0,1,0,0
u_000002,2026-04-05,campus,35-44,US,1,0,1,1,0
u_000003,2026-04-26,instagram,18-24,US,0,1,0,0,0
u_000004,2026-04-23,instagram,18-24,US,0,1,1,1,0
u_000005,2026-04-04,organic,18-24,UK,0,1,0,1,0
u_000006,2026-04-20,tiktok,18-24,UK,0,1,1,1,0
u_000007,2026-04-24,search,18-24,Canada,0,1,1,0,0
u_000008,2026-04-08,instagram,25-34,US,1,0,0,0,0
u_000009,2026-04-29,creator,18-24,US,1,0,1,0,0
u_000010,2026-04-26,organic,25-34,UK,1,0,0,1,1
u_000011,2026-04-15,creator,35-44,Australia,0,1,0,0,0
u_000012,2026-04-24,campus,18-24,US,1,0,1,1,0
u_000013,2026-04-09,search,25-34,UK,1,0,1,0,0
u_000014,2026-04-26,instagram,25-34,US,0,1,0,0,0
u_000015,2026-04-15,organic,18-24,US,0,1,0,1,0
u_000016,2026-04-11,referral,25-34,US,1,0,1,1,0
u_000017,2026-04-27,instagram,25-34,US,0,1,0,0,0
u_000018,2026-04-09,tiktok,45+,Canada,0,1,0,0,0
u_000019,2026-04-08,tiktok,25-34,US,1,1,1,0,0
u_000020,2026-04-07,tiktok,25-34,US,0,1,1,0,0
u_000021,2026-04-05,organic,18-24,US,0,1,1,0,0
u_000022,2026-04-17,creator,25-34,Australia,1,0,0,0,0
u_000023,2026-04-08,instagram,18-24,US,1,0,0,0,0
u_000024,2026-04-13,tiktok,25-34,US,1,0,0,1,1
u_000025,2026-04-01,organic,25-34,US,1,1,1,0,0
u_000026,2026-04-12,referral,18-24,US,1,0,0,1,0
u_000027,2026-04-24,creator,35-44,US,0,1,0,0,0
u_000028,2026-04-27,tiktok,25-34,US,1,1,0,0,1
u_000029,2026-04-07,organic,18-24,US,0,1,1,0,0
u_000030,2026-04-20,organic,18-24,US,1,1,1,1,0
u_000031,2026-04-29,search,18-24,Other,0,1,0,0,0
u_000032,2026-04-13,search,25-34,US,1,1,0,1,0
u_000033,2026-04-06,instagram,18-24,US,0,1,0,1,0
u_000034,2026-04-25,organic,18-24,UK,0,1,1,1,0
u_000035,2026-04-25,instagram,18-24,Canada,1,1,1,0,0
u_000036,2026-04-24,organic,25-34,Australia,0,1,0,0,0
u_000037,2026-04-22,referral,18-24,US,0,1,0,0,0
u_000038,2026-04-17,search,18-24,US,1,0,1,1,0
u_000039,2026-04-28,organic,18-24,US,1,1,0,1,0
u_000040,2026-04-30,creator,35-44,US,1,1,0,0,0
